SampleID,Iron,Cobalt,Copper,Zinc,Cadmium,Manganese,Selenium,Batch,MouseID,SampleType,Genotype,Sex
K10 TS-COL,162.646,0.160,14.288,172.239,0.010,16.848,3.834,Three,K10,TS-COL,MUT,Female
K10 TS-SI,105.257,0.069,8.149,136.645,0.021,6.552,4.728,Three,K10,TS-SI,MUT,Female
K10 FP-COL,737.748,2.402,44.504,381.933,0.259,139.455,2.948,Three,K10,FP-COL,MUT,Female
K10 FP-SI,309.671,0.525,17.070,213.393,0.161,59.454,3.179,Three,K10,FP-SI,MUT,Female
K11 MUC-COL,238.078,0.115,30.062,171.529,n/a,6.755,0.000,Three,K11,MUC-COL,MUT,Female
K11 MUC-SI,525.263,0.056,30.072,123.655,0.000,5.094,0.000,Three,K11,MUC-SI,MUT,Female
K11 TS-COL,160.144,0.160,17.296,202.358,0.014,18.053,4.242,Three,K11,TS-COL,MUT,Female
K11 TS-SI,148.837,0.098,9.393,143.501,0.057,6.504,4.811,Three,K11,TS-SI,MUT,Female
K11 FP-COL,813.992,2.121,47.283,444.656,0.342,181.096,2.057,Three,K11,FP-COL,MUT,Female
K11 FP-SI,329.556,0.446,18.450,208.961,0.210,83.467,2.250,Three,K11,FP-SI,MUT,Female
K12 MUC-SI,185.699,0.061,19.670,87.357,0.064,4.601,n/a,Three,K12,MUC-SI,MUT,Female
K12 FP-SI,695.656,0.969,49.443,477.110,0.334,257.223,2.249,Three,K12,FP-SI,MUT,Female
K13 MUC-SI,195.905,0.065,20.455,136.661,n/a,6.918,0.000,Three,K13,MUC-SI,MUT,Female
K13 FP-SI,405.929,0.715,26.912,230.626,0.199,102.697,1.913,Three,K13,FP-SI,MUT,Female
K2 MUC-COL,1154.691,0.485,128.115,911.774,n/a,79.550,n/a,Three,K2,MUC-COL,MUT,Female
K2 MUC-SI,294.606,0.126,29.156,190.240,0.106,16.742,2.214,Three,K2,MUC-SI,MUT,Female
K2 TS-COL,149.536,0.130,23.773,201.188,0.014,17.093,4.242,Three,K2,TS-COL,MUT,Female
K2 TS-SI,52.485,0.042,3.313,46.775,0.032,3.733,1.715,Three,K2,TS-SI,MUT,Female
K2 FP-COL,842.115,2.164,32.891,351.311,0.266,149.397,2.263,Three,K2,FP-COL,MUT,Female
K2 FP-SI,703.890,0.969,32.091,368.519,0.276,192.291,1.555,Three,K2,FP-SI,MUT,Female
K3 MUC-COL,905.152,0.211,111.577,1005.381,n/a,49.218,0.000,Three,K3,MUC-COL,MUT,Female
K3 MUC-SI,268.421,0.060,29.414,182.519,0.106,11.960,1.992,Three,K3,MUC-SI,MUT,Female
K3 TS-COL,145.663,0.138,17.024,188.895,0.011,14.291,3.896,Three,K3,TS-COL,MUT,Female
K3 TS-SI,58.023,0.041,5.010,73.233,0.024,3.932,2.183,Three,K3,TS-SI,MUT,Female
K3 FP-COL,992.533,1.684,43.637,359.156,0.298,138.381,1.549,Three,K3,FP-COL,MUT,Female
K3 FP-SI,614.670,0.693,27.641,329.790,0.251,152.647,1.240,Three,K3,FP-SI,MUT,Female
K5 MUC-COL,768.885,0.532,86.603,437.645,n/a,50.252,n/a,Three,K5,MUC-COL,MUT,Female
K5 MUC-SI,260.561,0.056,35.397,139.640,n/a,9.960,n/a,Three,K5,MUC-SI,MUT,Female
K5 TS-COL,932.399,0.296,15.948,207.184,0.067,27.964,3.928,Three,K5,TS-COL,MUT,Female
K5 TS-SI,135.860,0.149,8.451,135.041,0.053,8.828,4.501,Three,K5,TS-SI,MUT,Female
K5 FP-COL,956.886,1.912,31.004,320.094,0.268,119.375,1.871,Three,K5,FP-COL,MUT,Female
K5 FP-SI,551.502,0.942,18.841,242.920,0.259,146.826,2.600,Three,K5,FP-SI,MUT,Female
K6 MUC-COL,229.151,0.091,207.626,1024.361,n/a,9.510,0.000,Three,K6,MUC-COL,MUT,Female
K6 MUC-SI,341.754,0.180,149.247,1023.827,0.102,8.257,n/a,Three,K6,MUC-SI,MUT,Female
K6 TS-COL,178.783,0.112,14.453,193.820,0.040,14.286,4.150,Three,K6,TS-COL,MUT,Female
K6 TS-SI,121.929,0.074,8.059,133.357,0.057,6.268,4.113,Three,K6,TS-SI,MUT,Female
K6 FP-COL,648.088,1.398,32.917,338.876,0.268,110.983,1.989,Three,K6,FP-COL,MUT,Female
K6 FP-SI,334.967,0.336,17.058,222.644,0.229,89.086,2.820,Three,K6,FP-SI,MUT,Female
K7 MUC-COL,265.039,0.246,205.553,1109.635,n/a,11.358,0.000,Three,K7,MUC-COL,MUT,Female
K7 MUC-SI,256.603,0.070,48.150,387.437,0.147,7.003,n/a,Three,K7,MUC-SI,MUT,Female
K7 TS-COL,135.344,0.114,12.158,160.071,0.043,14.097,2.939,Three,K7,TS-COL,MUT,Female
K7 TS-SI,125.716,0.076,9.217,152.238,0.064,7.669,4.850,Three,K7,TS-SI,MUT,Female
K7 FP-COL,644.482,1.255,30.112,301.444,0.287,146.766,1.600,Three,K7,FP-COL,MUT,Female
K7 FP-SI,336.344,0.313,24.502,207.087,0.187,108.044,1.817,Three,K7,FP-SI,MUT,Female
K8 MUC-COL,250.946,0.131,184.172,970.802,n/a,12.902,0.000,Three,K8,MUC-COL,MUT,Female
K8 MUC-SI,172.633,0.112,93.447,753.440,0.117,7.978,n/a,Three,K8,MUC-SI,MUT,Female
K8 TS-COL,154.084,0.125,14.865,188.777,0.044,15.132,4.138,Three,K8,TS-COL,MUT,Female
K8 TS-SI,85.834,0.062,6.945,108.695,0.037,5.611,3.476,Three,K8,TS-SI,MUT,Female
K8 FP-COL,694.399,1.495,27.200,312.547,0.270,138.286,1.834,Three,K8,FP-COL,MUT,Female
K8 FP-SI,241.543,0.161,8.202,99.106,0.141,119.719,1.245,Three,K8,FP-SI,MUT,Female
K9 MUC-COL,221.828,0.000,96.233,221.998,n/a,7.847,0.000,Three,K9,MUC-COL,MUT,Female
K9 MUC-SI,165.537,0.016,57.888,138.849,n/a,4.493,n/a,Three,K9,MUC-SI,MUT,Female
K9 TS-COL,78.639,0.048,7.589,97.627,0.022,6.370,2.197,Three,K9,TS-COL,MUT,Female
K9 TS-SI,40.423,0.028,3.203,48.250,0.022,2.398,1.396,Three,K9,TS-SI,MUT,Female
K9 FP-COL,312.241,1.005,44.055,146.633,0.126,136.265,0.575,Three,K9,FP-COL,MUT,Female
K9 FP-SI,216.242,0.276,29.789,120.795,0.111,110.422,1.034,Three,K9,FP-SI,MUT,Female
Y4 MUC-COL,350.045,0.569,31.456,234.049,n/a,24.175,4.738,Three,Y4,MUC-COL,MUT,Male
Y4 MUC-SI,275.212,0.049,27.076,158.418,n/a,14.646,n/a,Three,Y4,MUC-SI,MUT,Male
Y9 MUC-COL,293.194,0.333,91.677,173.862,n/a,5.855,0.000,Three,Y9,MUC-COL,MUT,Male
Y5_TS-COL,109.451,0.106,15.679,131.771,n/a,10.885,2.339,One,Y5,TS-COL,MUT,Male
Y6_TS-COL,92.209,0.121,13.350,111.245,n/a,12.264,2.091,One,Y6,TS-COL,MUT,Male
Y7_TS-COL,105.342,0.092,11.934,106.041,n/a,8.950,1.944,One,Y7,TS-COL,MUT,Male
Y8_TS-COL,134.303,0.109,14.030,141.165,n/a,10.320,2.501,One,Y8,TS-COL,MUT,Male
Y9_TS-COL,145.041,0.164,19.884,169.096,0.012,12.299,3.155,One,Y9,TS-COL,MUT,Male
Y10_TS-COL,141.885,0.216,20.248,169.287,0.012,12.396,2.941,One,Y10,TS-COL,MUT,Male
Y11_TS-COL,196.998,0.367,21.784,192.539,0.024,25.904,3.188,One,Y11,TS-COL,MUT,Male
Y12_TS-COL,103.275,0.187,18.084,136.114,0.010,12.914,3.029,One,Y12,TS-COL,MUT,Male
Y13_TS-COL,151.471,0.309,17.075,141.938,0.016,24.079,2.679,One,Y13,TS-COL,MUT,Male
Y14_TS-COL,153.168,0.309,20.201,167.471,0.018,24.303,3.265,One,Y14,TS-COL,MUT,Male
Y5_TS-SI,108.873,0.101,9.728,118.817,0.035,7.069,3.101,One,Y5,TS-SI,MUT,Male
Y6_TS-SI,75.549,0.069,8.204,105.777,0.018,4.437,3.062,One,Y6,TS-SI,MUT,Male
Y7_TS-SI,103.751,0.072,9.969,122.479,0.028,5.292,3.406,One,Y7,TS-SI,MUT,Male
Y8_TS-SI,125.265,0.106,9.934,122.135,0.045,5.675,3.575,One,Y8,TS-SI,MUT,Male
Y9_TS-SI,71.247,0.068,6.422,69.908,0.022,3.543,2.093,One,Y9,TS-SI,MUT,Male
Y10_TS-SI,52.788,0.055,5.650,65.504,0.020,3.332,2.165,One,Y10,TS-SI,MUT,Male
Y11_TS-SI,67.590,0.064,7.488,82.157,0.030,3.888,2.818,One,Y11,TS-SI,MUT,Male
Y12_TS-SI,81.907,0.086,7.810,97.659,0.029,4.914,3.220,One,Y12,TS-SI,MUT,Male
Y14_TS-SI,96.132,0.133,8.434,105.018,0.029,5.629,3.280,One,Y14,TS-SI,MUT,Male
Y13_TS-SI,163.856,0.148,11.788,134.721,0.049,9.577,3.638,One,Y13,TS-SI,MUT,Male
G10_TS-COL,105.239,0.186,17.289,149.005,0.009,14.017,2.595,One,G10,TS-COL,WT,Male
G11_TS-COL,132.643,0.138,18.488,165.678,n/a,10.814,3.101,One,G11,TS-COL,WT,Male
G12_TS-COL,148.637,0.184,17.267,155.450,0.011,14.575,3.223,One,G12,TS-COL,WT,Male
G13_TS-COL,117.223,0.136,14.441,129.188,0.007,9.770,2.923,One,G13,TS-COL,WT,Male
G15_TS-COL,157.818,0.141,16.641,145.004,n/a,12.651,3.241,One,G15,TS-COL,WT,Male
